entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
82,84,2002-09-09,2002-09-11,LONG,321.5,317.6,1376.2679050858153,6881.339525429076,-417.3751811691017,-30.326594090201997,1.3762679050858153,-418.7514490741875
86,88,2002-09-13,2002-09-17,LONG,317.1,317.7,1334.3927601783967,6671.963800891983,63.121701049116396,4.730368968779295,1.3343927601783967,61.787308288938
89,90,2002-09-18,2002-09-19,LONG,320.1,323.2,1340.5714910072904,6702.857455036452,324.5682304063225,24.211184004998167,1.3405714910072906,323.22765891531526
93,95,2002-09-24,2002-09-26,LONG,326.1,320.0,1372.894256898822,6864.4712844941105,-642.0311995617024,-46.76479607482384,1.372894256898822,-643.4040938186012
96,97,2002-09-27,2002-09-30,LONG,319.9,324.1,1308.5538475169617,6542.769237584808,429.5034510449593,32.82275711159773,1.3085538475169618,428.19489719744234
102,103,2002-10-07,2002-10-08,LONG,322.3,318.2,1351.373337236706,6756.86668618353,-429.77278022576206,-31.802668321439825,1.351373337236706,-431.12415356299874
104,105,2002-10-09,2002-10-10,LONG,320.0,316.8,1308.2609218804062,6541.304609402031,-327.06523047010035,-24.999999999999908,1.3082609218804062,-328.37349139198074
109,110,2002-10-16,2002-10-17,LONG,314.3,311.5,1275.4235727412079,6377.117863706039,-284.0587021695352,-22.27171492204909,1.275423572741208,-285.3341257422764
112,113,2002-10-21,2002-10-22,LONG,311.2,313.0,1246.8901601669804,6234.450800834902,180.30224038404396,14.460154241645338,1.2468901601669804,179.05535022387699
115,116,2002-10-24,2002-10-25,LONG,311.4,312.9,1264.795695189368,6323.97847594684,152.31162032627265,12.04238921001927,1.2647956951893682,151.04682463108327
119,121,2002-10-30,2002-11-01,LONG,316.3,318.7,1279.9003776524762,6399.501888262381,242.78856357618665,18.96933291179242,1.2799003776524762,241.50866319853418
124,127,2002-11-06,2002-11-11,LONG,318.1,321.6,1304.0512439723295,6520.256219861648,358.706330863184,27.507073247406478,1.3040512439723297,357.4022796192117
129,130,2002-11-13,2002-11-14,LONG,318.9,318.1,1339.7914719342507,6698.9573596712535,-84.02580570298994,-6.271558482282491,1.3397914719342507,-85.36559717492419
133,134,2002-11-19,2002-11-20,LONG,318.7,317.8,1331.2549122167582,6656.274561083791,-93.98567783142865,-7.059930969563677,1.3312549122167583,-95.31693274364541
138,139,2002-11-26,2002-11-27,LONG,318.3,317.2,1321.7232189423937,6608.616094711969,-114.19223537831158,-8.639648130694491,1.3217232189423938,-115.51395859725397
142,143,2002-12-02,2002-12-03,LONG,317.7,320.7,1310.1718230826682,6550.859115413341,309.29457579855244,23.60717658168083,1.3101718230826682,307.9844039754698
144,148,2002-12-04,2002-12-10,LONG,322.1,323.4,1340.9702634802152,6704.851317401076,135.3043575383591,10.090034150884465,1.3409702634802152,133.9633872748789
151,152,2002-12-13,2002-12-16,LONG,330.5,336.6,1354.3666022077032,6771.833011038516,624.9346651639198,46.142208774584134,1.3543666022077032,623.5802985617121
159,162,2002-12-25,2002-12-30,LONG,344.7,343.6,1416.7246320638742,7083.623160319371,-113.02560888237694,-7.977951842181359,1.4167246320638742,-114.44233351444082
167,168,2003-01-07,2003-01-08,LONG,347.2,353.5,1405.2803987124303,7026.401993562151,637.4759873191479,45.36290322580653,1.4052803987124303,636.0707069204354
169,170,2003-01-09,2003-01-10,LONG,354.2,354.6,1468.8874694044737,7344.437347022368,41.47056661221341,2.8232636928291512,1.4688874694044738,40.00167914280894
179,180,2003-01-23,2003-01-24,LONG,363.2,368.3,1472.8876373187547,7364.438186593774,517.051689862726,35.10462555066095,1.472887637318755,515.5788022254072
