entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
12,13,2002-06-03,2002-06-04,LONG,307.98486771971704,308.52071848037747,1774.5710886261509,8872.855443130755,77.18766142040573,4.349651694154636,1.774571088626151,75.41309033177959
24,25,2002-06-19,2002-06-20,LONG,312.0478531096571,312.42299702221237,1785.8830521759178,8929.415260879588,53.674712779064066,3.005499868183802,1.7858830521759177,51.88882972688815
26,28,2002-06-21,2002-06-25,LONG,312.81136531515125,313.39229103132527,1793.666376634951,8968.331883174755,83.27598034794394,4.642779807478789,1.793666376634951,81.482313971309
29,32,2002-06-26,2002-07-01,LONG,313.58240403443625,313.80080871289124,1805.8887237306474,9029.443618653237,31.44425045518238,1.7412064232963427,1.8058887237306473,29.638361731451734
33,35,2002-07-02,2002-07-04,LONG,313.78210750278305,313.62367034105284,1810.334477990365,9051.672389951826,-22.852183857597943,-1.2623183248968408,1.8103344779903652,-24.66251833558831
40,41,2002-07-11,2002-07-12,LONG,313.83139476369894,313.9082343703953,1806.6351002400268,9033.175501200134,11.05857578802756,0.6121089857358764,1.806635100240027,9.251940687787535
54,55,2002-07-31,2002-08-01,LONG,313.42520460732374,313.15984287212217,1808.0228913431952,9040.114456715975,-38.269105729074745,-2.116627279018813,1.8080228913431953,-40.07712862041794
56,57,2002-08-02,2002-08-05,LONG,312.9805578027971,312.8379800204765,1802.0113220501328,9010.056610250664,-20.52258292161875,-1.1388709199823663,1.8020113220501328,-22.324594243668884
63,64,2002-08-13,2002-08-14,LONG,312.84765958871265,312.8212747182395,1798.6626329135827,8993.313164567913,-3.792379384958621,-0.21084439714052963,1.7986626329135826,-5.591042017872203
66,67,2002-08-16,2002-08-19,LONG,312.9359271810751,312.75116118314855,1797.8239766109014,8989.119883054507,-26.537120883421146,-1.4760689160151583,1.7978239766109014,-28.334944860032046
71,74,2002-08-23,2002-08-28,LONG,312.19234456775524,312.0941223207581,1793.573734881897,8967.868674409485,-14.107396086140358,-0.7865523346922395,1.793573734881897,-15.900969821022255
75,76,2002-08-29,2002-08-30,LONG,312.14410804041097,312.17074915766307,1791.1885894087438,8955.942947043719,3.821893798559191,0.21337193755911352,1.7911885894087438,2.0307052091504474
77,78,2002-09-02,2002-09-03,LONG,312.1809976594719,312.25006794442356,1791.4931951901167,8957.465975950583,9.909231055734558,0.5531269157113919,1.7914931951901167,8.117737860544441
86,88,2002-09-13,2002-09-17,LONG,313.6480850913251,313.88735765871684,1792.7108558691984,8963.554279345992,34.190112220039175,1.907173826058082,1.7927108558691984,32.39740136416998
95,96,2002-09-26,2002-09-27,LONG,315.567342265283,315.70220372931533,1797.570466073824,8987.85233036912,19.20532896526671,1.0684047901173055,1.797570466073824,17.407758499192884
100,103,2002-10-03,2002-10-08,LONG,316.56542068386483,316.950958059173,1800.1816298487033,9000.908149243516,54.80994253498474,3.0446895816613377,1.8001816298487032,53.00976090513604
105,106,2002-10-10,2002-10-11,LONG,317.0382117961231,317.0276843691324,1808.1330939844734,9040.665469922367,-1.5010011749539833,-0.08301386551397706,1.8081330939844735,-3.3091342689384566
107,109,2002-10-14,2002-10-16,LONG,317.05483670155286,316.8588656068521,1807.6367238441326,9038.183619220663,-27.932435227799537,-1.5452460585331675,1.8076367238441327,-29.74007195164367
113,115,2002-10-22,2002-10-24,LONG,316.2977883450061,316.0127083461802,1803.1757130513863,9015.878565256931,-40.6301710841289,-2.2532563404690795,1.8031757130513864,-42.433346797180285
118,119,2002-10-29,2002-10-30,LONG,315.92165706919377,315.9334336471464,1796.8107110318092,8984.053555159046,1.6744880361215713,0.09319223365270375,1.7968107110318092,-0.12232267491023796
121,124,2002-11-01,2002-11-06,LONG,316.07282366239207,316.25591518732665,1796.7923626305728,8983.961813152864,26.020700692717107,1.4481751611311284,1.7967923626305728,24.223908330086534
126,127,2002-11-08,2002-11-11,LONG,316.5592020359133,316.7161055891021,1800.4259488800858,9002.129744400429,22.309668050695613,1.2391327765839433,1.8004259488800858,20.509242101815527
129,130,2002-11-13,2002-11-14,LONG,317.01279707407457,317.0466381451372,1803.5023351953582,9017.511675976792,4.8130904533086545,0.26687464492732654,1.8035023351953583,3.009588118113296
137,140,2002-11-25,2002-11-28,LONG,317.43295147450857,317.45957291733873,1803.953773413075,9019.768867065375,3.7822044012834883,0.20966193574503683,1.803953773413075,1.9782506278704133
141,143,2002-11-29,2002-12-03,LONG,317.4701692989537,317.57763456572326,1804.2505110072557,9021.252555036279,15.268699332655647,0.8462627134926854,1.8042505110072558,13.464448821648391
144,145,2002-12-04,2002-12-05,LONG,317.7184010099473,317.92949000526545,1806.2701783305033,9031.350891652517,30.001705598805522,1.6609755261826584,1.8062701783305035,28.195435420475018
146,148,2002-12-06,2002-12-10,LONG,318.1869239302318,318.58179977426,1810.4994936435746,9052.497468217873,56.17158200865494,3.1025461319302194,1.8104994936435745,54.36108251501136
150,152,2002-12-12,2002-12-16,LONG,319.16821912077074,320.0525556588993,1818.653656020826,9093.26828010413,125.97603566629664,6.926884360265133,1.8186536560208262,124.15738201027581
153,154,2002-12-17,2002-12-18,LONG,320.5707361508057,321.2782237915944,1837.2772633223678,9186.386316611839,101.37005736318972,5.517406620483681,1.837277263322368,99.53278009986735
155,156,2002-12-19,2002-12-20,LONG,322.0321684604185,322.6132369975347,1852.2071803373478,9261.035901686739,83.55215892407395,4.5109510324248046,1.8522071803373479,81.6999517437366
161,162,2002-12-27,2002-12-30,LONG,326.19576094653087,326.7374979825105,1864.4621730989081,9322.31086549454,77.41119998155742,4.151931913581967,1.8644621730989082,75.5467378084585
168,169,2003-01-08,2003-01-09,LONG,330.66654089981904,331.3990605084105,1875.794183770177,9378.970918850884,103.88532338004126,5.53820479234247,1.8757941837701768,102.00952919627107
172,173,2003-01-14,2003-01-15,LONG,333.3540865409356,333.8940080919327,1891.0956131496173,9455.478065748086,76.57347830428522,4.0491595333327535,1.8910956131496173,74.6823826911356
175,177,2003-01-17,2003-01-21,LONG,335.3065489978691,336.62171931328186,1902.2979705532875,9511.489852766437,186.53421991152112,9.805730900152684,1.9022979705532876,184.63192194096783
178,179,2003-01-22,2003-01-23,LONG,337.3960988192221,338.1992898636246,1929.9927588444327,9649.963794222163,114.86150144374048,5.9513954608054,1.9299927588444328,112.93150868489604
180,183,2003-01-24,2003-01-29,LONG,339.13622651681953,341.75703211716876,1946.932485147167,9734.662425735834,376.14173609395255,19.319711338912725,1.946932485147167,374.1948036088054
186,189,2003-02-03,2003-02-06,LONG,344.2840308228242,347.0135136579566,2003.061705688488,10015.30852844244,397.00669025521313,19.81999302007298,2.003061705688488,395.00362854952465
